Hiz_kmh,Yakit_L_100km
20,8.9
25,8.13
25,8.14
25,8.39
25,8.35
30,8.06
30,7.31
30,7.87
30,8.22
30,8.9
35,7.36
35,7.53
35,8.0
35,7.47
35,7.27
35,7.95
40,6.5
40,6.6
40,7.51
40,7.02
40,6.48
45,6.4
45,6.31
45,5.92
45,6.46
45,6.65
45,6.43
45,6.59
50,6.17
50,6.15
55,5.71
55,5.63
55,5.53
55,6.05
55,5.37
55,6.72
55,6.69
55,6.14
60,5.81
65,7.1
65,5.33
65,5.65
65,5.2
65,6.17
65,5.5
70,4.8
70,5.22
70,5.7
70,5.55
70,6.51
75,5.06
75,5.85
75,6.22
75,5.79
75,5.43
75,6.61
75,6.1
75,5.28
75,5.45
75,5.7
75,5.24
75,5.94
80,5.37
85,5.43
85,6.59
85,6.38
85,6.29
90,6.06
90,6.41
90,6.92
95,6.45
95,6.56
95,7.01
95,6.46
95,6.41
100,7.44
100,6.6
100,6.95
100,7.42
100,7.0
100,7.2
100,6.94
105,7.12
105,7.14
105,7.0
105,7.51
105,7.23
105,7.28
105,6.51
105,6.94
110,8.83
110,8.41
110,8.31
110,8.03
110,7.6
115,7.53
115,8.57
115,9.21
115,8.2
115,7.94
115,8.12
115,8.31
115,8.65
120,9.9
120,9.26
120,8.5
120,9.27
120,10.08
120,8.59
125,9.37
125,9.35
125,10.36
130,11.41
130,10.5
130,10.15
135,11.46
135,11.58
135,12.0
135,11.99
135,11.5
