mesafe_km,hava_durumu,kurye_deneyim_ay,aktarma_sayisi,hafta_sonu,paket_agirlik_kg,gecikti
301,Acik,10,1,0,2.1,0
402,Karli,18,0,0,3.6,0
266,Yagmurlu,4,1,1,2.8,1
240,Yagmurlu,4,1,0,5.4,1
435,Yagmurlu,8,1,0,11.3,0
255,Acik,26,1,0,2.8,0
336,Yagmurlu,7,1,1,6.3,1
314,Acik,12,0,0,5.6,0
435,Karli,35,1,0,5.5,0
211,Acik,16,1,0,3.5,0
531,Acik,27,1,1,6.6,1
174,Yagmurlu,12,1,1,5.6,1
350,Yagmurlu,6,2,0,3.3,1
324,Acik,13,1,0,13.6,0
163,Yagmurlu,31,0,0,8.9,0
369,Acik,12,0,0,5.6,0
223,Yagmurlu,8,0,1,2.1,0
124,Acik,28,1,1,14.1,0
400,Acik,47,2,1,9.9,1
88,Acik,15,2,1,3.1,1
143,Acik,7,1,0,4.6,0
264,Acik,5,0,1,3.8,1
433,Acik,31,2,0,2.8,0
384,Acik,2,0,0,3.8,0
298,Acik,23,1,0,0.5,0
65,Acik,17,2,0,3.5,0
168,Acik,30,1,1,3.5,0
197,Yagmurlu,8,0,1,7.6,0
119,Karli,47,0,1,9.7,1
50,Acik,20,1,1,8.1,0
273,Karli,26,0,0,6.5,1
392,Acik,24,1,0,2.1,0
186,Acik,19,1,1,0.4,0
429,Yagmurlu,22,0,0,5.6,0
79,Yagmurlu,1,0,1,9.4,1
113,Yagmurlu,24,2,0,11.3,1
269,Acik,7,1,0,1.6,0
174,Yagmurlu,14,2,0,7.3,1
372,Acik,19,1,0,1.0,0
333,Acik,31,0,1,1.7,0
184,Acik,7,1,1,3.1,1
86,Karli,10,1,0,0.3,0
168,Acik,11,1,0,11.9,0
338,Yagmurlu,17,2,0,3.8,0
381,Yagmurlu,12,3,0,2.4,1
175,Yagmurlu,22,2,0,1.2,1
49,Yagmurlu,3,1,0,6.6,0
75,Yagmurlu,13,1,0,1.7,0
321,Acik,41,1,0,7.6,0
182,Acik,12,0,0,1.2,0
185,Acik,20,2,1,6.7,1
112,Acik,28,2,0,7.9,0
110,Acik,19,0,0,1.8,0
425,Acik,49,3,0,2.7,0
328,Acik,16,2,1,0.8,1
152,Acik,22,1,1,9.2,0
256,Acik,17,3,0,8.1,0
286,Karli,36,0,0,2.7,0
653,Acik,11,0,1,14.3,1
102,Karli,52,0,0,7.3,1
284,Karli,9,1,0,2.3,0
423,Acik,44,1,1,4.9,0
606,Yagmurlu,6,3,0,2.9,1
146,Yagmurlu,23,0,0,6.6,0
180,Yagmurlu,15,0,1,4.8,1
374,Acik,27,1,0,7.8,0
64,Acik,20,0,0,12.7,0
303,Acik,26,2,0,7.3,0
798,Yagmurlu,6,1,1,1.6,1
324,Karli,3,3,1,4.6,1
27,Yagmurlu,5,1,1,6.5,1
125,Yagmurlu,5,0,0,6.8,1
149,Karli,6,0,1,2.1,1
486,Yagmurlu,9,0,1,3.9,1
216,Acik,9,3,0,7.0,1
50,Yagmurlu,15,1,0,1.4,0
233,Acik,7,1,0,3.2,0
267,Acik,8,0,1,8.3,0
164,Acik,12,2,0,11.7,0
108,Karli,30,0,0,4.0,0
851,Acik,10,2,1,0.6,1
424,Acik,14,2,1,3.3,0
449,Acik,16,0,1,7.4,0
216,Acik,6,1,0,1.8,0
144,Acik,11,0,0,5.5,0
170,Yagmurlu,8,1,0,4.0,0
79,Yagmurlu,28,3,0,8.7,1
645,Acik,26,1,1,13.4,1
222,Acik,8,2,0,3.9,0
556,Acik,14,1,0,9.4,0
177,Acik,22,0,0,0.9,0
327,Acik,18,2,0,28.3,0
277,Yagmurlu,20,1,1,2.2,1
72,Yagmurlu,7,0,0,14.5,0
696,Acik,43,1,0,11.8,0
181,Acik,9,1,0,10.7,0
94,Acik,9,2,0,5.0,0
376,Acik,4,0,0,11.6,0
242,Karli,13,2,1,2.5,1
308,Yagmurlu,32,1,0,0.7,0
259,Karli,18,0,0,8.2,0
30,Karli,14,0,1,3.5,1
122,Yagmurlu,25,2,0,11.7,0
118,Karli,31,1,0,15.8,0
444,Acik,26,1,0,5.6,0
248,Acik,2,0,0,1.2,0
340,Acik,25,1,0,4.5,0
189,Acik,20,2,1,3.0,1
351,Acik,7,0,1,9.8,0
216,Acik,21,3,0,2.9,0
205,Yagmurlu,32,0,0,7.5,0
275,Yagmurlu,9,0,0,0.4,0
259,Acik,28,1,0,6.2,0
1021,Acik,19,2,0,4.1,1
120,Yagmurlu,1,0,0,16.3,1
64,Acik,14,1,0,7.6,0
303,Acik,18,0,1,7.4,0
135,Acik,12,1,1,2.9,0
26,Acik,19,1,0,2.5,0
99,Acik,13,3,1,2.5,0
885,Yagmurlu,59,1,0,12.5,1
118,Yagmurlu,11,1,1,9.1,1
45,Yagmurlu,8,1,0,4.8,0
851,Acik,27,0,0,15.0,0
95,Yagmurlu,12,0,0,1.8,0
1200,Yagmurlu,14,3,0,9.1,1
183,Acik,13,0,0,2.7,0
697,Yagmurlu,26,2,0,2.4,1
202,Acik,6,0,0,4.2,0
328,Acik,27,2,0,2.8,0
220,Acik,22,0,0,5.8,0
203,Acik,47,3,0,5.0,0
286,Acik,17,1,0,6.3,0
336,Acik,6,0,0,5.9,0
271,Acik,17,1,0,10.1,0
252,Karli,19,1,0,1.7,0
136,Acik,34,0,1,3.0,0
226,Acik,6,0,0,4.0,0
643,Acik,3,2,0,1.4,1
131,Karli,17,2,0,19.4,1
292,Acik,48,0,0,1.7,0
522,Karli,24,2,0,0.9,1
338,Acik,25,0,0,1.3,0
447,Acik,4,0,1,3.8,1
94,Acik,15,1,0,7.3,0
293,Acik,34,0,0,4.5,0
194,Yagmurlu,19,0,0,1.1,0
201,Yagmurlu,3,1,0,7.2,1
609,Acik,15,0,1,1.2,1
203,Karli,23,0,0,2.6,0
299,Acik,14,2,0,9.7,0
45,Acik,7,1,1,4.7,0
697,Acik,27,2,0,4.8,1
431,Acik,11,1,0,1.1,0
232,Yagmurlu,20,1,1,2.9,0
188,Acik,15,0,0,8.7,0
362,Acik,10,2,0,5.8,0
518,Acik,52,0,1,7.4,1
703,Acik,9,0,0,4.3,0
421,Acik,16,2,0,8.7,0
255,Yagmurlu,15,2,0,1.1,0
464,Acik,17,1,0,3.7,0
410,Acik,49,0,0,6.5,0
255,Acik,23,0,0,0.7,0
402,Acik,10,1,0,0.2,0
397,Acik,39,2,1,15.0,0
231,Yagmurlu,26,1,0,4.7,0
162,Karli,10,0,0,0.6,1
374,Acik,35,0,1,4.6,0
103,Karli,4,1,1,1.3,1
84,Acik,6,1,1,1.8,0
302,Yagmurlu,3,0,1,9.9,1
368,Yagmurlu,2,0,0,2.7,1
301,Yagmurlu,34,0,0,2.7,0
324,Yagmurlu,17,0,1,1.2,1
363,Acik,3,1,0,3.2,0
611,Acik,15,0,0,5.0,1
426,Acik,28,1,1,2.7,0
418,Acik,8,2,0,17.8,0
286,Yagmurlu,12,3,0,1.6,1
294,Acik,53,3,0,1.6,0
217,Acik,12,0,0,3.1,0
317,Acik,4,0,0,16.4,0
99,Acik,10,0,0,7.5,0
612,Yagmurlu,3,2,1,2.6,1
124,Yagmurlu,24,0,0,2.6,0
426,Acik,7,1,0,1.5,0
564,Acik,7,0,1,3.0,1
425,Acik,57,0,1,3.6,0
935,Acik,5,2,0,7.2,1
32,Yagmurlu,4,1,0,6.1,1
170,Acik,6,1,0,2.9,0
557,Acik,29,3,1,12.3,1
81,Acik,22,0,0,2.3,0
127,Karli,10,0,0,0.9,1
348,Yagmurlu,9,1,1,5.2,0
252,Acik,21,1,0,9.4,0
334,Acik,18,1,0,4.1,0
268,Acik,13,0,1,1.2,0
286,Karli,22,3,1,4.8,1
138,Acik,5,0,0,5.4,0
279,Acik,7,1,0,5.8,0
179,Karli,23,1,0,4.9,0
198,Yagmurlu,19,3,0,10.3,0
422,Acik,15,1,0,1.5,0
78,Acik,55,3,0,0.2,0
19,Acik,26,0,0,0.5,0
402,Acik,10,1,0,1.1,0
280,Acik,8,2,0,8.2,0
563,Karli,20,1,0,3.2,1
130,Karli,34,1,0,13.0,0
226,Acik,3,3,0,1.4,1
259,Yagmurlu,19,0,0,12.8,0
152,Acik,11,1,0,1.8,0
117,Acik,17,2,1,3.6,0
415,Yagmurlu,4,3,1,0.7,1
71,Acik,34,3,0,11.6,0
101,Acik,40,2,0,4.0,0
220,Acik,24,0,1,18.4,0
448,Acik,45,3,0,9.7,0
160,Acik,11,1,1,3.5,0
144,Yagmurlu,18,1,0,2.1,0
211,Yagmurlu,25,1,0,8.5,0
313,Yagmurlu,20,2,0,4.4,0
187,Yagmurlu,12,1,0,2.0,0
486,Acik,13,2,0,4.7,0
499,Yagmurlu,38,0,1,0.4,1
220,Acik,15,0,0,5.9,0
780,Acik,32,1,0,6.8,0
255,Karli,14,0,0,1.3,0
488,Acik,32,1,1,10.5,0
307,Acik,16,0,0,8.9,0
303,Acik,23,1,0,5.5,0
56,Acik,9,0,0,1.7,0
93,Acik,18,0,0,7.1,0
194,Acik,9,1,1,3.1,0
497,Karli,11,0,0,5.0,1
310,Acik,11,0,0,7.6,0
196,Acik,13,0,1,0.9,0
370,Acik,30,0,0,0.6,0
485,Yagmurlu,10,1,0,2.8,0
244,Acik,17,0,0,16.2,0
284,Acik,32,1,1,18.9,0
259,Acik,23,1,0,5.8,0
233,Yagmurlu,3,1,0,9.1,1
129,Yagmurlu,4,1,0,4.2,1
121,Acik,20,0,0,4.7,0
369,Yagmurlu,10,3,0,3.6,1
491,Acik,3,1,0,9.9,0
195,Acik,9,0,0,13.1,0
192,Acik,21,3,0,4.6,0
41,Acik,11,1,1,4.7,0
33,Acik,16,1,0,3.8,0
574,Acik,12,2,1,13.3,1
136,Acik,8,0,0,8.3,0
976,Acik,18,2,0,1.7,1
156,Acik,3,1,0,15.9,0
58,Yagmurlu,7,1,0,0.2,0
261,Yagmurlu,26,0,0,12.4,0
412,Acik,4,0,0,9.4,0
382,Acik,15,3,1,4.6,1
440,Acik,11,0,1,4.5,0
108,Acik,10,0,0,3.9,0
566,Acik,28,1,0,1.7,0
587,Acik,32,2,0,15.0,1
604,Yagmurlu,6,0,1,4.4,1
291,Yagmurlu,13,2,0,1.7,1
184,Acik,2,1,0,14.4,0
171,Acik,27,2,0,6.3,0
57,Karli,14,0,0,6.6,0
159,Acik,4,0,0,16.7,0
17,Yagmurlu,8,1,0,7.3,0
49,Acik,5,0,0,2.5,0
289,Acik,7,1,0,7.3,0
200,Acik,2,0,0,1.9,0
281,Acik,37,2,0,2.9,0
391,Karli,6,2,1,5.6,1
318,Acik,15,2,0,9.0,0
299,Karli,20,3,1,2.6,1
228,Acik,32,3,0,3.8,0
132,Yagmurlu,15,1,0,3.8,1
82,Karli,12,1,1,10.2,1
162,Acik,16,2,0,4.5,0
230,Acik,6,3,1,15.8,1
252,Yagmurlu,6,3,0,2.9,1
440,Acik,12,2,1,2.7,1
215,Karli,1,0,0,12.3,1
354,Acik,8,3,0,6.9,0
66,Acik,10,3,0,11.9,0
292,Acik,50,1,1,1.3,0
278,Yagmurlu,34,2,1,4.4,1
566,Karli,20,1,0,5.6,1
201,Acik,27,3,1,5.3,1
194,Yagmurlu,6,0,1,3.9,1
393,Karli,16,2,0,5.2,1
88,Acik,25,0,0,5.5,0
287,Acik,6,0,0,2.7,0
84,Yagmurlu,4,0,0,9.9,0
731,Yagmurlu,19,1,0,14.5,1
175,Acik,4,0,1,7.8,0
79,Yagmurlu,22,3,0,6.2,0
161,Acik,31,1,0,4.2,0
288,Karli,6,2,0,5.6,1
346,Yagmurlu,7,0,0,6.1,0
547,Yagmurlu,31,0,0,1.8,1
146,Acik,15,2,0,9.5,0
405,Acik,28,2,0,3.1,0
50,Acik,12,1,0,12.7,0
101,Acik,13,2,0,5.1,0
67,Yagmurlu,15,2,1,9.6,1
126,Acik,43,1,0,7.7,0
393,Acik,26,3,0,1.3,0
149,Acik,8,2,0,11.9,0
173,Acik,17,1,0,2.2,0
294,Acik,12,1,1,2.9,0
336,Yagmurlu,10,0,0,3.2,0
177,Yagmurlu,21,0,1,0.8,0
101,Acik,18,2,1,5.3,1
656,Yagmurlu,7,2,0,10.1,1
178,Yagmurlu,15,0,0,12.5,0
192,Acik,10,1,0,3.9,0
210,Yagmurlu,20,0,1,4.5,0
361,Acik,9,0,0,8.1,0
62,Acik,13,3,0,4.0,0
820,Acik,10,1,0,10.8,1
188,Acik,3,0,0,4.3,0
369,Yagmurlu,42,1,0,2.0,0
80,Karli,15,1,0,5.4,0
273,Yagmurlu,43,2,0,1.0,1
741,Acik,16,3,1,5.3,1
676,Acik,24,1,0,6.2,0
363,Karli,9,1,0,2.3,1
119,Acik,9,1,0,6.0,0
528,Acik,14,1,1,3.6,1
49,Acik,43,0,0,2.2,0
115,Acik,7,0,1,0.8,0
228,Acik,2,2,0,1.1,1
54,Acik,30,1,1,13.6,0
161,Acik,25,1,0,3.5,0
410,Acik,11,0,0,6.1,0
137,Acik,54,2,0,3.9,0
423,Acik,55,0,1,13.9,0
960,Acik,3,1,1,2.2,1
318,Yagmurlu,8,2,0,4.8,0
419,Acik,14,1,0,2.9,0
540,Yagmurlu,20,3,0,9.6,1
173,Yagmurlu,18,0,0,6.0,0
412,Acik,15,2,0,4.6,0
170,Yagmurlu,6,3,0,1.3,1
303,Yagmurlu,22,1,0,18.3,0
454,Acik,23,1,0,3.9,1
123,Acik,29,1,1,1.8,0
20,Acik,5,2,0,0.9,1
114,Karli,13,3,0,1.1,0
499,Yagmurlu,10,2,0,4.6,1
102,Karli,5,3,0,9.7,1
481,Karli,12,1,0,5.7,1
114,Acik,6,1,0,0.9,0
205,Yagmurlu,4,0,0,4.6,0
240,Acik,25,2,0,11.8,0
101,Yagmurlu,10,2,0,3.3,0
207,Acik,8,1,0,5.7,0
57,Acik,34,0,0,3.5,0
186,Yagmurlu,23,1,0,6.7,0
226,Yagmurlu,2,2,0,2.1,0
21,Yagmurlu,20,3,0,0.2,0
113,Acik,20,0,0,1.4,0
296,Acik,12,0,0,3.0,0
91,Karli,12,1,1,4.2,1
331,Acik,3,0,0,3.1,0
354,Acik,54,3,0,3.0,0
295,Acik,12,1,0,9.7,0
409,Acik,19,1,0,1.7,0
54,Acik,13,0,0,4.6,0
468,Acik,8,1,0,1.0,1
103,Yagmurlu,27,3,0,7.8,0
261,Karli,17,1,0,5.6,0
722,Karli,12,0,0,18.1,1
182,Acik,19,0,0,1.6,0
245,Acik,14,3,0,14.4,0
103,Yagmurlu,45,3,0,1.8,0
718,Yagmurlu,26,0,0,3.3,0
113,Acik,21,1,0,1.2,0
375,Yagmurlu,4,0,0,17.9,1
539,Yagmurlu,22,1,1,6.3,1
399,Yagmurlu,22,0,1,6.3,1
308,Yagmurlu,6,2,1,2.0,1
258,Acik,3,3,0,0.2,0
79,Acik,25,0,0,3.2,0
698,Acik,28,1,1,2.7,1
291,Acik,9,0,0,0.5,0
245,Yagmurlu,9,0,1,3.4,1
96,Yagmurlu,16,0,0,4.6,0
254,Acik,10,0,1,6.6,1
234,Yagmurlu,3,3,0,0.3,1
722,Yagmurlu,6,0,0,1.3,1
245,Yagmurlu,19,2,0,2.1,1
251,Acik,6,0,0,10.1,0
97,Yagmurlu,29,1,0,9.9,0
133,Acik,21,1,1,6.0,0
345,Acik,19,3,0,3.3,0
44,Acik,16,0,0,10.5,0
466,Yagmurlu,8,0,0,5.4,1
474,Yagmurlu,23,2,0,10.1,1
121,Acik,8,2,0,6.2,0
309,Acik,30,1,0,0.7,0
551,Yagmurlu,40,0,1,0.2,1
220,Yagmurlu,17,0,0,3.0,0
190,Acik,37,2,0,8.5,0
209,Karli,6,1,1,2.7,1
290,Yagmurlu,21,1,0,12.0,0
147,Karli,15,0,1,8.0,1
178,Karli,26,0,0,11.3,0
294,Karli,2,3,0,3.1,1
167,Yagmurlu,25,2,0,1.7,1
89,Yagmurlu,9,0,0,1.5,0
39,Acik,15,3,0,6.7,0
248,Acik,53,1,0,0.7,0
529,Yagmurlu,22,0,0,0.8,1
320,Acik,20,1,0,2.5,0
92,Yagmurlu,19,2,1,5.3,1
132,Acik,32,1,0,2.1,0
189,Acik,26,1,1,9.9,0
737,Acik,19,2,1,11.4,1
763,Acik,17,0,1,0.2,1
706,Acik,16,3,1,6.3,0
267,Acik,14,1,0,2.7,0
1200,Yagmurlu,5,1,0,8.8,1
137,Acik,22,1,0,6.5,0
184,Acik,9,1,1,5.1,0
442,Acik,13,1,0,3.9,0
296,Acik,28,1,1,0.8,0
307,Acik,14,3,1,19.9,1
