rezervasyon_no,sezon,iade_kosulu,kac_gun_once,gece_sayisi,oda_fiyati,onceki_iptal_sayisi,iptal_edildi
9001,Yaz,İade Edilebilir,111,7,3070.0,0,Evet
9002,Sonbahar,İade Edilebilir,219,2,2280.0,0,Evet
9003,Yaz,İade Edilebilir,163,2,3980.0,4,Evet
9004,İlkbahar,İade Edilemez,94,4,970.0,0,Hayır
9005,İlkbahar,İade Edilebilir,122,1,2410.0,0,Hayır
9006,Sonbahar,İade Edilebilir,66,1,2660.0,2,Evet
9007,Kış,İade Edilemez,5,1,1920.0,5,Hayır
9008,Sonbahar,İade Edilebilir,26,4,1530.0,2,Evet
9009,Sonbahar,İade Edilemez,25,3,3090.0,0,Hayır
9010,Yaz,İade Edilebilir,52,2,3310.0,0,Hayır
9011,İlkbahar,İade Edilebilir,61,9,1540.0,1,Evet
9012,İlkbahar,İade Edilebilir,37,2,1650.0,3,Evet
9013,İlkbahar,İade Edilebilir,27,1,2390.0,2,Evet
9014,Yaz,İade Edilemez,122,4,4490.0,0,Hayır
9015,Yaz,İade Edilebilir,35,1,4620.0,0,Hayır
9016,Yaz,İade Edilebilir,54,6,3950.0,2,Evet
9017,Sonbahar,İade Edilemez,28,3,,1,Hayır
9018,Sonbahar,İade Edilebilir,31,1,1740.0,1,Hayır
9019,Yaz,İade Edilebilir,4,11,3170.0,4,Hayır
9020,Sonbahar,İade Edilebilir,8,2,2080.0,5,Evet
9021,İlkbahar,İade Edilebilir,3,3,1160.0,2,Hayır
9022,Kış,İade Edilebilir,55,3,1880.0,1,Evet
9023,Yaz,İade Edilemez,49,4,4250.0,0,Hayır
9024,Kış,İade Edilemez,30,4,1700.0,0,Hayır
9025,Kış,İade Edilemez,20,1,2120.0,0,Hayır
9026,Yaz,İade Edilemez,44,3,3140.0,1,Hayır
9027,Yaz,İade Edilemez,39,1,,2,Hayır
9028,Sonbahar,İade Edilemez,21,2,1750.0,3,Hayır
9029,Yaz,İade Edilebilir,78,2,4610.0,3,Evet
9030,Yaz,İade Edilebilir,109,4,4520.0,0,Evet
9031,Yaz,İade Edilebilir,19,1,3480.0,0,Evet
9032,İlkbahar,İade Edilebilir,16,3,3240.0,0,Hayır
9033,Kış,İade Edilebilir,4,2,1570.0,1,Hayır
9034,İlkbahar,İade Edilemez,12,3,3460.0,4,Hayır
9035,Yaz,İade Edilemez,6,1,4140.0,2,Hayır
9036,İlkbahar,İade Edilebilir,102,5,2080.0,0,Evet
9037,İlkbahar,İade Edilebilir,143,5,2960.0,0,Evet
9038,Kış,İade Edilebilir,11,1,1260.0,3,Evet
9039,Sonbahar,İade Edilebilir,39,2,1550.0,3,Evet
9040,Kış,İade Edilemez,1,2,800.0,2,Hayır
9041,İlkbahar,İade Edilebilir,33,1,2580.0,0,Hayır
9041,İlkbahar,İade Edilebilir,33,1,2580.0,0,Hayır
9042,Sonbahar,İade Edilebilir,81,1,2160.0,0,Evet
9043,Yaz,İade Edilebilir,13,2,3750.0,1,Hayır
9044,Sonbahar,İade Edilebilir,4,1,1910.0,3,Hayır
9045,Yaz,İade Edilemez,54,3,4810.0,0,Hayır
9046,Yaz,İade Edilebilir,96,5,3500.0,0,Evet
9047,Kış,İade Edilebilir,3,2,1290.0,0,Hayır
9048,Yaz,İade Edilebilir,36,4,4670.0,0,Hayır
9049,Yaz,İade Edilebilir,6,7,4790.0,0,Hayır
9050,Sonbahar,İade Edilebilir,150,2,2440.0,2,Evet
9051,İlkbahar,İade Edilebilir,5,6,1180.0,1,Hayır
9052,Yaz,İade Edilebilir,24,6,3380.0,1,Evet
9053,Kış,İade Edilebilir,4,7,2230.0,0,Hayır
