ogrenci_no,calisma_saati,devamsizlik,sinav1,sinav2,sinav3,proje
101,18,1,81,84,83,75
102,9,7,59,52,60,
103,,7,77,62,74,69
104,5,12,63,51,59,40
105,10,7,,63,70,74
106,6,,55,51,51,63
107,6,11,61,57,50,48
108,13,7,77,,71,73
109,13,7,73,73,70,
110,,9,65,55,54,65
111,23,0,100,100,100,100
112,3,10,52,57,,61
113,7,7,62,49,61,63
114,15,2,87,,93,78
115,11,11,,,,47
116,19,3,78,80,79,87
117,20,0,91,88,88,75
118,9,,55,62,56,45
119,7,9,65,54,57,71
120,10,7,66,72,75,
121,10,6,54,67,54,65
122,,1,83,83,91,90
123,17,2,88,87,82,79
124,15,4,86,78,81,77
125,7,9,62,55,,57
126,14,4,66,72,67,
127,17,4,,69,76,64
128,12,9,63,70,65,70
129,12,7,72,,61,63
130,12,5,75,64,76,63
104,5,12,63,51,59,40
113,7,7,62,49,61,63
