Tumor_Boyutu,Kanser_Mi
1.96,0
5.03,1
6.02,1
4.53,1
1.64,0
1.94,0
2.31,0
5.89,1
3.77,1
8.14,1
2.17,0
3.18,1
6.74,1
2.35,0
1.46,0
1.22,0
2.2,0
3.65,1
2.41,0
0.3,0
6.46,1
2.47,0
2.26,0
2.98,0
3.67,0
4.15,1
0.16,0
5.37,1
5.37,1
2.03,0
4.29,1
1.27,0
2.19,0
2.89,1
3.92,1
4.68,1
1.08,0
0.65,0
6.29,1
3.05,0
1.05,0
4.63,0
2.49,0
4.57,1
1.14,0
3.76,1
1.42,0
7.3,1
4.84,1
1.9,0
6.04,1
4.4,1
5.34,1
5.02,1
5.15,1
3.84,1
2.71,0
1.44,0
2.63,0
2.97,0
2.62,0
0.43,0
6.31,1
1.75,0
1.93,0
3.79,1
2.18,0
4.1,1
2.38,0
4.21,1
3.86,1
3.08,0
2.83,0
7.81,1
6.43,1
4.13,1
3.65,1
2.21,0
2.27,0
0.72,0
6.77,1
4.3,1
1.96,0
2.68,0
2.03,0
2.03,0
2.61,1
4.1,1
5.01,1
1.54,0
1.57,0
5.93,1
3.4,1
4.79,1
5.18,1
1.11,0
6.07,1
1.56,0
3.45,0
2.2,0
3.03,0
3.88,1
2.27,0
5.17,1
6.77,1
3.07,0
1.48,0
7.63,1
4.3,0
1.64,0
1.55,0
3.45,0
3.55,1
6.03,1
6.59,1
2.36,1
3.23,1
1.08,0
4.6,1
6.08,1
7.25,1
5.11,1
3.55,0
1.0,0
2.98,0
1.79,0
5.58,1
4.95,1
0.88,0
4.87,1
2.17,0
2.49,0
2.29,0
4.46,0
4.23,1
1.47,0
4.91,1
6.43,1
1.36,0
5.76,1
4.2,1
1.43,0
1.17,0
2.47,0
1.45,0
2.63,0
7.95,1
5.05,1
3.55,0
3.8,0
4.83,1
1.61,0
2.29,0
2.33,0
4.2,1
4.01,0
4.59,1
1.55,1
0.62,0
7.05,1
1.97,0
4.63,1
5.86,1
5.47,1
1.98,0
6.68,1
4.53,0
1.47,0
1.51,0
5.31,1
3.87,1
3.85,0
4.03,1
1.64,0
7.53,1
3.11,0
4.99,1
2.51,0
5.12,1
3.17,0
3.38,0
2.65,0
3.44,1
4.71,1
3.21,0
2.93,1
6.39,1
7.86,1
2.9,1
3.28,0
2.19,0
4.27,1
4.11,1
3.7,1
2.65,0
4.16,0
5.41,1
4.92,1
4.64,1
3.64,1
4.13,1
2.28,0
2.61,0
3.53,1
5.15,1
2.19,0
3.07,0
5.82,1
2.13,0
1.3,0
3.86,1
2.29,1
2.56,1
2.38,0
5.39,1
1.93,0
1.44,0
2.51,1
4.9,1
3.18,1
4.02,1
5.07,1
0.98,0
2.71,0
2.24,0
1.44,0
6.25,1
2.87,0
5.79,1
7.16,1
1.29,1
3.8,1
5.87,1
1.31,0
1.95,0
4.09,1
1.76,0
2.35,0
6.75,1
3.44,0
5.51,1
4.38,1
4.27,1
2.46,0
2.57,0
4.37,1
2.64,0
8.11,1
6.31,1
4.51,1
1.91,0
3.44,0
1.94,1
3.8,0
1.96,0
4.47,1
5.03,1
7.51,1
5.49,1
1.35,0
6.24,1
1.68,1
1.55,0
6.16,1
2.78,1
6.72,1
5.51,1
4.38,1
1.03,0
1.95,0
5.27,1
5.37,1
4.31,1
3.73,1
6.25,1
3.72,1
5.11,1
4.28,1
5.72,1
5.5,1
6.56,1
1.72,0
3.8,0
2.64,0
4.33,1
2.57,0
3.4,0
3.62,1
2.06,0
7.03,1
2.7,0
2.39,0
3.84,1
2.64,0
3.05,0
7.24,1
5.98,1
2.2,0
5.42,1
1.31,0
3.74,0
5.19,1
5.16,1
6.09,1
5.72,1
5.34,1
3.81,1
1.43,0
7.82,1
4.14,0
3.73,0
2.44,0
2.04,0
4.81,1
5.08,1
6.64,1
1.74,0
0.33,0
2.4,0
2.65,0
3.48,1
2.52,1
6.23,1
0.54,0
3.07,1
3.06,1
4.5,1
7.5,1
3.08,0
1.96,0
1.83,0
4.59,1
2.65,0
0.42,0
3.48,0
3.38,0
7.77,1
6.69,1
2.49,0
2.26,0
1.45,0
1.33,0
1.97,0
3.17,0
2.54,0
4.78,1
4.14,1
0.1,0
3.15,0
4.18,1
3.93,1
5.16,1
4.62,1
3.16,0
1.53,0
6.64,1
1.95,0
1.89,1
4.49,1
4.44,1
3.0,0
3.83,1
0.44,0
7.63,1
6.4,1
2.85,0
6.08,1
3.31,1
1.68,0
4.08,0
2.38,0
2.43,0
3.03,0
4.44,1
1.74,0
1.8,0
4.46,1
1.96,0
3.38,1
2.05,0
2.73,0
4.54,1
5.49,1
3.12,1
6.39,1
4.72,1
3.0,0
0.1,0
3.94,1
2.89,1
2.67,1
0.96,0
2.61,0
7.63,1
1.38,0
7.54,1
5.32,1
2.22,0
4.18,1
5.6,1
