musteri_id,yas,kullanim_suresi_ay,sozlesme_tipi,internet_hizi_mbps,ek_paket_sayisi,aylik_ucret,teknik_destek_cagrisi,fatura_gecikme_sayisi,memnuniyet_puani,musteri_no_son_hane,ayrildi_mi
10001,48,12,Aylik,25,2,215.0,0,1,9,6,0
10002,40,18,Aylik,100,2,465.0,0,1,9,9,0
10003,50,3,Yillik,50,3,364.0,0,0,6,0,0
10004,62,24,Iki Yillik,50,1,247.0,1,0,7,5,0
10005,39,32,Yillik,25,2,224.0,1,1,6,0,0
10006,39,38,Yillik,50,2,282.0,0,1,7,3,0
10007,63,5,Aylik,50,1,310.0,0,0,7,6,0
10008,52,11,Iki Yillik,25,2,266.0,0,1,9,1,0
10009,36,36,Aylik,16,1,194.0,1,3,9,2,0
10010,49,18,Yillik,200,2,585.0,1,2,3,3,0
10011,36,32,Aylik,50,1,283.0,0,1,7,5,0
10012,36,7,Iki Yillik,50,1,272.0,0,3,10,8,0
10013,45,49,Yillik,25,1,223.0,1,0,6,3,0
10014,18,6,Yillik,25,0,235.0,1,1,9,5,0
10015,20,23,Aylik,25,1,286.0,0,1,6,6,0
10016,35,24,Aylik,25,5,356.0,3,1,7,3,0
10017,29,14,Yillik,50,3,381.0,1,1,5,5,1
10018,46,29,Yillik,50,4,388.0,1,1,5,2,0
10019,30,29,Aylik,50,1,271.0,1,0,8,4,1
10020,24,27,Iki Yillik,16,1,226.0,3,1,9,9,0
10021,61,14,Iki Yillik,50,2,318.0,1,0,7,3,0
10022,39,12,Aylik,16,0,178.0,2,0,5,6,1
10023,43,15,Iki Yillik,16,1,239.0,0,1,7,5,0
10024,23,10,Aylik,200,0,530.0,2,0,9,6,0
10025,35,42,Aylik,50,2,302.0,0,1,10,5,0
10026,43,16,Aylik,50,1,258.0,2,4,6,1,1
10027,27,23,Yillik,25,1,182.0,2,0,4,6,0
10028,47,36,Yillik,100,4,480.0,2,1,9,7,1
10029,34,10,Aylik,50,0,304.0,0,0,6,6,0
10030,38,6,Yillik,100,1,347.0,1,0,9,3,0
10031,34,11,Yillik,25,2,236.0,2,0,8,3,0
10032,66,25,Yillik,200,1,576.0,0,1,5,4,0
10033,42,24,Aylik,100,2,416.0,2,0,7,8,1
10034,28,27,Iki Yillik,100,1,368.0,2,1,9,4,0
10035,53,19,Aylik,16,3,355.0,0,1,7,1,0
10036,26,1,Aylik,25,3,342.0,1,1,5,4,1
10037,45,19,Aylik,25,2,259.0,1,0,4,2,1
10038,18,39,Aylik,25,0,173.0,2,0,6,9,1
10039,25,45,Iki Yillik,100,1,357.0,2,1,6,7,0
10040,45,22,Aylik,16,1,246.0,0,1,9,9,0
10041,52,24,Yillik,16,2,250.0,2,0,5,9,1
10042,44,31,Aylik,25,0,150.0,0,0,10,1,1
10043,40,44,Aylik,16,1,214.0,0,0,4,3,0
10044,38,21,Iki Yillik,25,1,179.0,1,0,10,4,0
