uye_no,yas,haftalik_ziyaret,uyelik_suresi_ay,aylik_ucret_tl,grup_dersi,yeniledi
1001,46.0,4,4,900,Hayır,Evet
1002,52.0,3,8,900,Evet,Evet
1003,18.0,1,15,900,Hayır,Hayır
1004,52.0,0,32,1200,Evet,Hayır
1005,38.0,3,11,900,Evet,Evet
1006,40.0,2,8,900,Hayır,Hayır
1007,45.0,2,6,900,Hayır,Hayır
1008,30.0,2,1,2400,Hayır,Hayır
1009,,3,19,1500,Hayır,Evet
1010,20.0,3,11,1200,Evet,Evet
1011,29.0,4,5,900,Evet,Evet
1011,29.0,4,5,900,Evet,Evet
1012,34.0,4,11,900,Hayır,Evet
1013,42.0,5,14,1200,Hayır,Evet
1014,35.0,4,13,900,Hayır,Evet
1015,23.0,2,3,1500,Hayır,Hayır
1016,19.0,3,4,1200,Evet,Evet
1017,18.0,3,7,900,Evet,Evet
1018,20.0,2,5,1800,Evet,Evet
1019,24.0,3,11,1800,Evet,Evet
1020,60.0,4,30,1500,Hayır,Evet
1021,26.0,1,8,1800,Hayır,Hayır
1022,46.0,0,4,1200,Evet,Hayır
1023,50.0,4,25,900,Evet,Evet
1024,28.0,3,33,2400,Hayır,Evet
1025,30.0,4,7,1200,Hayır,Evet
1026,36.0,1,4,900,Hayır,Hayır
1027,29.0,5,13,900,Hayır,Evet
1028,59.0,4,17,1200,Hayır,Evet
1029,25.0,2,4,1800,Evet,Evet
1030,56.0,2,21,1800,Evet,Hayır
1031,52.0,3,6,2400,Hayır,Hayır
1032,54.0,2,17,1500,Hayır,Evet
1033,22.0,2,8,1800,Evet,Evet
1034,34.0,1,21,1500,Hayır,Evet
1035,45.0,4,43,2400,Hayır,Evet
1036,39.0,3,17,2400,Hayır,Evet
1037,46.0,3,19,1200,Evet,Evet
1038,47.0,3,7,1200,Evet,Evet
1039,46.0,0,6,1200,Evet,Hayır
1040,20.0,3,29,1200,Hayır,Evet
1041,59.0,2,4,900,Evet,Evet
1042,41.0,2,11,1800,Hayır,Hayır
1043,56.0,3,12,1800,Evet,Evet
1044,29.0,1,13,900,Evet,Hayır
1045,33.0,4,1,1200,Evet,Evet
1046,55.0,2,2,1200,Hayır,Hayır
1047,26.0,1,13,900,Evet,Hayır
1048,20.0,1,9,900,Evet,Hayır
1049,34.0,3,33,1500,Hayır,Evet
1050,47.0,4,1,1200,Hayır,Evet
1051,23.0,2,13,1800,Evet,Evet
1052,55.0,0,7,1500,Hayır,Hayır
1053,32.0,4,16,1200,Evet,Evet
1054,27.0,1,4,1200,Hayır,Hayır
1055,41.0,4,2,1200,Hayır,Evet
1056,56.0,3,6,1800,Hayır,Hayır
1057,56.0,2,7,1200,Evet,Evet
1058,,2,13,1800,Hayır,Evet
1059,31.0,3,22,1500,Hayır,Evet
1060,18.0,4,4,1200,Evet,Evet
1061,51.0,2,6,1200,Hayır,Hayır
1062,48.0,4,48,1500,Hayır,Evet
1063,51.0,6,10,1800,Evet,Evet
1064,18.0,2,7,900,Hayır,Hayır
1065,19.0,1,8,2400,Hayır,Evet
1066,39.0,1,7,1800,Hayır,Hayır
1067,32.0,1,3,900,Hayır,Hayır
1068,36.0,2,9,900,Evet,Evet
1069,,2,13,1200,Hayır,Evet
1070,26.0,1,8,900,Evet,Hayır
1071,,3,12,2400,Hayır,Evet
1072,31.0,0,1,1200,Hayır,Hayır
1073,30.0,1,2,1200,Hayır,Hayır
1074,52.0,6,17,900,Hayır,Hayır
1075,24.0,4,30,1200,Hayır,Evet
1076,31.0,3,4,1500,Hayır,Hayır
1077,23.0,3,7,1500,Evet,Evet
1078,24.0,5,28,2400,Hayır,Evet
1079,30.0,3,7,1500,Evet,Evet
1080,48.0,3,5,1500,Evet,Evet
1081,42.0,1,17,1200,Hayır,Hayır
1082,37.0,2,8,1200,Hayır,Hayır
1083,25.0,1,22,1500,Hayır,Hayır
1084,52.0,2,2,2400,Evet,Evet
1085,52.0,2,5,1800,Evet,Evet
1086,28.0,3,16,900,Hayır,Evet
1087,20.0,2,32,900,Evet,Evet
1088,31.0,4,4,1500,Hayır,Evet
1089,24.0,1,19,1200,Hayır,Hayır
1090,52.0,2,9,1200,Hayır,Hayır
1091,40.0,5,23,900,Hayır,Evet
1092,39.0,3,18,900,Evet,Evet
1093,30.0,4,12,900,Hayır,Evet
1094,39.0,4,8,1500,Hayır,Evet
1095,59.0,5,11,1500,Hayır,Evet
1096,28.0,4,21,1200,Evet,Evet
1097,51.0,1,8,1500,Hayır,Hayır
1098,18.0,2,11,1500,Hayır,Hayır
1099,31.0,2,18,900,Hayır,Evet
1100,58.0,0,11,900,Hayır,Hayır
1101,55.0,2,20,900,Hayır,Evet
1102,21.0,1,26,900,Hayır,Hayır
1103,54.0,0,2,1500,Hayır,Hayır
1104,54.0,3,12,900,Hayır,Evet
1105,37.0,3,6,1500,Hayır,Hayır
1106,33.0,2,14,900,Evet,Evet
1107,60.0,1,25,1500,Hayır,Hayır
1108,58.0,2,6,1200,Evet,Evet
1109,47.0,2,19,1200,Hayır,Evet
1110,35.0,2,12,1800,Hayır,Evet
1111,27.0,3,21,1800,Evet,Evet
1112,58.0,2,26,1500,Evet,Evet
1113,29.0,3,17,2400,Hayır,Evet
1114,41.0,3,12,1800,Hayır,Evet
1115,47.0,3,5,900,Hayır,Hayır
1116,28.0,2,20,1200,Hayır,Evet
1117,31.0,2,11,1200,Evet,Evet
1118,49.0,3,8,1200,Hayır,Hayır
1119,26.0,2,10,1800,Hayır,Hayır
1120,46.0,3,11,1200,Hayır,Hayır
1121,58.0,0,16,1500,Hayır,Hayır
1122,47.0,0,12,2400,Evet,Hayır
1123,45.0,3,8,900,Hayır,Hayır
1124,37.0,3,6,1500,Hayır,Hayır
1125,59.0,5,16,1500,Hayır,Evet
1126,27.0,4,32,1200,Hayır,Evet
1127,33.0,3,9,2400,Hayır,Hayır
1128,45.0,3,1,900,Evet,Evet
1129,46.0,0,15,1200,Evet,Hayır
1130,22.0,4,25,1800,Hayır,Evet
1131,,2,9,1800,Evet,Evet
1132,47.0,3,13,1800,Evet,Evet
1133,54.0,3,4,1200,Hayır,Hayır
1134,45.0,3,17,1200,Hayır,Evet
1135,58.0,4,22,1200,Evet,Evet
1136,34.0,2,11,1800,Evet,Evet
1137,32.0,2,20,2400,Evet,Evet
1138,52.0,1,20,1500,Hayır,Hayır
1139,19.0,2,12,900,Evet,Evet
1140,26.0,5,9,1500,Evet,Evet
1141,26.0,2,9,1800,Hayır,Hayır
1142,34.0,4,11,1800,Hayır,Evet
1143,24.0,4,6,1200,Evet,Evet
1144,52.0,4,22,1500,Hayır,Evet
1145,54.0,4,8,1500,Evet,Evet
1146,34.0,1,18,1200,Hayır,Hayır
1147,19.0,3,6,1500,Hayır,Hayır
1148,48.0,5,27,1200,Hayır,Evet
1149,22.0,2,20,1200,Hayır,Evet
1150,44.0,3,18,1200,Hayır,Evet
1151,25.0,2,3,1200,Evet,Evet
1152,58.0,3,7,1200,Hayır,Hayır
1153,47.0,1,14,1500,Hayır,Hayır
1154,60.0,5,18,1200,Evet,Evet
1155,44.0,2,3,1500,Hayır,Hayır
1156,49.0,0,7,900,Evet,Hayır
1157,34.0,5,7,1500,Evet,Evet
1158,52.0,4,11,1200,Hayır,Evet
1159,22.0,3,10,900,Evet,Evet
1160,24.0,3,10,1200,Hayır,Hayır
1161,33.0,2,44,900,Hayır,Evet
1162,48.0,2,5,1500,Hayır,Hayır
1163,38.0,4,17,900,Evet,Evet
1164,54.0,4,18,900,Evet,Evet
1165,58.0,4,9,1200,Evet,Evet
1166,35.0,3,5,900,Hayır,Hayır
1167,36.0,2,5,1500,Evet,Evet
1168,41.0,2,29,900,Hayır,Hayır
1169,45.0,4,10,900,Hayır,Evet
