kayit_no,uretim_hatti,vardiya,calisma_saati,son_bakim_gun,sicaklik_c,titresim,parti_no,ariza_cikti
5001,C,Gündüz,7570,121,66,1.7,96,Hayır
5002,B,Gece,2130,27,60,,0,Hayır
5003,C,Gece,20000,45,72,2.4,97,Evet
5004,B,Gece,14110,43,73,0.9,35,Evet
5005,A,Gece,4150,118,56,6.8,12,Hayır
5006,C,Gece,10360,292,69,7.5,61,Evet
5007,C,Gece,6830,70,68,6.7,78,Evet
5008,C,Gündüz,3410,333,65,7.6,12,Evet
5009,A,Gece,5470,245,59,9.5,4,Hayır
5010,B,Gündüz,1510,83,64,1.5,89,Hayır
5011,A,Gece,5620,125,70,9.5,93,Evet
5012,C,Gece,4800,105,63,2.2,15,Hayır
5013,B,Gece,2570,197,54,4.5,90,Hayır
5014,C,Gece,12670,99,73,,90,Evet
5015,B,Gündüz,7650,79,57,2.0,99,Hayır
5016,A,Gece,7880,101,67,5.6,21,Evet
5017,B,Gece,200,96,56,4.6,57,Hayır
5018,A,Gündüz,9850,33,60,2.1,99,Hayır
5019,C,Gündüz,8400,3,62,3.1,90,Hayır
5020,B,Gündüz,8850,56,65,1.8,60,Hayır
5021,C,Gece,11950,49,64,5.6,19,Evet
5022,A,Gündüz,200,400,70,7.1,8,Evet
5023,C,Gece,10580,92,65,1.5,25,Hayır
5024,C,Gündüz,13640,98,75,2.8,6,Evet
5025,C,Gece,14760,120,72,0.8,19,Evet
5026,A,Gündüz,5370,130,61,3.4,7,Hayır
5026,A,Gündüz,5370,130,61,3.4,7,Hayır
5027,B,Gece,12890,19,63,4.1,76,Evet
5028,A,Gündüz,10530,72,59,3.6,58,Hayır
5029,A,Gece,4850,9,63,3.9,51,Hayır
5030,B,Gece,9380,1,63,2.6,80,Hayır
5031,B,Gece,14700,80,58,2.7,41,Hayır
5032,C,Gece,20000,400,78,2.6,40,Evet
5033,A,Gündüz,470,71,55,,20,Hayır
5034,A,Gündüz,1830,8,67,2.1,44,Hayır
5035,B,Gündüz,12680,38,59,4.0,17,Hayır
5036,A,Gündüz,1240,22,52,6.8,58,Hayır
5037,A,Gece,200,142,67,1.3,99,Hayır
5038,B,Gece,3810,42,68,2.6,53,Hayır
5039,A,Gece,7890,114,62,1.1,29,Hayır
5040,B,Gece,5540,61,60,1.9,68,Hayır
5041,B,Gece,3070,114,66,2.2,82,Hayır
5042,C,Gece,8970,105,55,3.2,47,Hayır
5043,B,Gündüz,2790,242,56,3.2,25,Hayır
5044,A,Gündüz,2040,41,59,2.8,71,Hayır
5045,C,Gece,20000,47,81,3.8,18,Evet
5046,C,Gece,13340,71,67,1.4,99,Hayır
5047,A,Gündüz,9990,82,67,3.2,31,Hayır
