Study Hours,Sleep Hours,Attendance Rate,Social Media Hours,Exam Score
3.8,5.9,86.0,1.7,80.2
4.2,7.8,87.8,3.5,76.1
3.4,7.4,82.3,3.2,69.7
2.5,7.8,88.7,3.7,64.3
3.1,8.7,85.1,1.8,78.6
2.3,8.3,76.1,3.2,58.3
3.9,6.0,80.0,2.6,76.0
5.8,5.5,92.4,1.9,95.7
3.1,7.7,86.4,1.4,78.3
2.9,6.1,73.2,3.0,59.0
4.5,7.0,93.5,3.7,73.4
4.3,7.8,89.1,3.3,78.1
4.0,5.5,92.6,2.5,76.8
2.4,5.1,80.8,3.4,56.3
3.8,7.2,83.3,3.8,62.1
4.8,7.0,80.4,0.5,95.4
1.8,6.8,95.9,3.5,63.2
3.1,7.0,83.0,3.7,57.9
0.9,6.2,89.5,4.4,40.3
1.9,5.6,78.5,5.0,42.9
1.0,6.9,81.8,4.8,43.1
3.4,6.1,75.3,3.5,57.4
1.9,5.5,80.0,3.8,50.7
4.2,7.5,91.0,3.7,74.1
4.0,6.9,78.5,2.6,74.4
3.5,7.4,90.5,3.1,70.7
0.5,6.1,81.9,4.7,38.7
3.0,6.4,78.0,5.0,57.7
3.7,6.1,82.1,3.0,80.8
4.0,6.2,82.7,3.0,66.4
1.5,7.2,81.3,3.8,48.8
3.1,6.3,81.0,4.4,54.0
2.3,7.3,78.2,3.4,60.4
2.6,7.3,81.5,4.7,50.0
5.4,8.8,81.7,1.9,87.2
2.6,5.7,76.1,3.2,55.4
3.8,7.8,84.7,2.9,69.1
5.1,6.9,91.8,3.4,79.7
2.9,7.0,75.3,4.2,53.0
3.6,5.7,84.8,1.9,64.4
4.0,6.6,81.7,2.3,67.5
3.9,7.7,79.8,3.4,67.6
2.0,6.9,86.9,3.0,61.5
3.9,7.1,82.3,1.8,76.3
5.8,6.7,96.3,3.5,83.3
1.5,8.0,77.2,4.1,46.3
5.1,7.0,89.1,3.2,86.9
4.0,5.0,84.0,2.7,74.1
2.8,6.4,79.4,4.2,55.8
6.8,5.2,92.7,2.1,95.2
4.9,4.1,85.9,3.7,76.2
2.0,6.5,85.6,2.8,57.9
3.9,8.2,84.9,2.3,72.7
4.7,7.0,80.3,3.1,71.9
3.5,5.9,84.0,2.6,76.8
4.8,6.2,86.8,3.4,78.8
3.7,8.0,90.1,3.3,80.5
4.8,7.1,81.5,2.1,79.5
6.0,7.0,88.0,2.6,95.6
2.8,7.0,74.0,3.1,55.6
4.1,7.0,89.0,3.8,73.1
3.1,7.7,78.0,2.7,77.1
4.0,7.5,75.4,2.7,73.7
2.0,7.2,82.0,4.6,49.5
2.9,6.1,89.8,5.2,58.0
3.5,7.5,76.2,4.9,59.3
5.1,6.4,81.0,2.8,85.0
5.5,8.0,83.5,2.9,83.6
