Study Hours,Exam Score
2.4,51.5
2.4,42.4
2.4,44.1
2.7,44.6
2.7,36.6
3.0,49.2
3.0,36.6
3.9,50.9
4.5,49.0
4.5,50.7
4.8,48.2
5.1,50.4
5.1,44.7
5.1,50.6
5.1,47.6
5.4,52.5
5.4,38.8
5.4,47.9
5.4,47.3
5.7,42.5
5.7,55.8
5.7,51.1
5.7,51.0
5.7,48.1
6.0,51.5
6.6,49.0
6.6,47.2
6.6,44.5
7.2,69.8
7.5,44.0
7.8,57.8
8.4,55.0
8.7,58.5
8.7,43.1
9.3,63.5
9.6,55.1
9.6,59.9
10.2,61.6
10.8,49.0
10.8,59.8
11.1,58.9
11.1,59.6
11.7,61.9
11.7,67.5
12.3,63.8
12.6,66.0
12.6,51.3
12.6,58.8
12.6,65.2
12.6,60.2
12.9,68.1
13.8,62.6
13.8,64.6
14.4,67.1
14.4,78.9
14.4,63.2
14.7,63.6
14.7,68.1
14.7,71.2
15.0,69.8
15.6,57.9
15.6,89.2
15.6,65.9
15.6,72.7
15.9,77.4
16.2,79.4
16.5,76.4
16.5,72.2
16.5,79.3
16.5,83.1
16.5,74.1
16.8,79.7
16.8,79.7
16.8,79.5
17.1,81.1
17.1,78.0
17.1,84.3
17.4,81.9
17.4,82.1
17.4,66.1
17.4,75.2
17.4,80.4
17.7,73.2
17.7,71.9
18.3,69.7
18.3,75.5
18.3,74.1
18.3,82.0
18.6,88.0
18.6,82.1
18.6,68.9
18.6,84.3
18.9,71.9
19.2,90.8
19.2,76.7
19.8,84.4
20.1,82.3
20.4,80.9
20.4,77.5
20.7,97.5
20.7,79.4
21.0,82.1
21.0,79.5
21.6,80.2
21.9,95.8
22.5,86.2
22.5,94.1
22.5,88.7
22.5,74.6
22.5,93.9
22.8,84.8
23.1,93.0
23.1,91.0
23.4,86.0
23.7,97.8
24.6,88.7
24.6,100.0
24.9,90.4
25.2,100.0
25.5,84.8
25.5,99.7
25.5,100.0
25.5,88.6
25.5,89.6
25.5,87.5
25.8,100.0
26.1,88.8
26.1,92.0
26.1,100.0
26.4,90.4
26.4,99.6
27.0,98.0
27.3,95.2
27.3,100.0
27.3,97.9
27.6,91.7
27.9,100.0
27.9,93.4
28.2,92.4
28.2,100.0
28.5,100.0
28.5,100.0
28.5,97.6
29.1,100.0
29.1,97.3
29.4,98.7
29.7,96.5
29.7,100.0
29.7,100.0
30.0,100.0
30.0,100.0
30.3,100.0
30.3,100.0
30.6,96.0
30.6,95.8
30.6,100.0
31.5,100.0
31.5,100.0
31.5,100.0
32.1,100.0
